Name,FieldTime,FID,Shape Area,LavaFlow
7/8/21/24,29-May-18,424,96317.44186,LavaFlow
7/8/21/24,29-May-18,425,147576.3075,LavaFlow
7/8/21/24,29-May-18,426,188.1351881,LavaFlow
7/8/21/24,29-May-18,427,1012.556089,LavaFlow
7/8/21/24,29-May-18,428,3361.099997,LavaFlow
18,29-May-18,429,786.8573349,LavaFlow
18,29-May-18,430,260.6634195,LavaFlow
18,29-May-18,431,18174.17446,LavaFlow
18,29-May-18,432,8444.758986,LavaFlow
18,29-May-18,433,736.3131789,LavaFlow
18,29-May-18,434,102904.6084,LavaFlow
19/20/22,29-May-18,435,3549.623137,LavaFlow
19/20/22,29-May-18,436,799.9955263,LavaFlow
7/8/21/24,30-May-18,437,75704.38773,LavaFlow
7/8/21/24,30-May-18,438,2835.473584,LavaFlow
7/8/21/24,30-May-18,439,5807.485466,LavaFlow
7/8/21/24,30-May-18,440,19492.8253,LavaFlow
7/8/21/24,30-May-18,441,50683.80075,LavaFlow
7/8/21/24,30-May-18,442,2361.374661,LavaFlow
7/8/21/24,30-May-18,443,13804.6605,LavaFlow
7/8/21/24,30-May-18,444,13393.30816,LavaFlow
7/8/21/24,30-May-18,445,420470.7537,LavaFlow
7/8/21/24,30-May-18,446,3243.788396,LavaFlow
7/8/21/24,30-May-18,447,1291050.856,LavaFlow
7/8/21/24,30-May-18,448,8938.663343,LavaFlow
7/8/21/24,30-May-18,449,5370.754187,LavaFlow
18,30-May-18,450,1800.606878,LavaFlow
18,30-May-18,451,731.0644968,LavaFlow
18,30-May-18,452,3380.089757,LavaFlow
18,30-May-18,453,2022.221332,LavaFlow
18,30-May-18,454,985.6842017,LavaFlow
7/8/21/24,31-May-18,455,3401.412376,LavaFlow
7/8/21/24,31-May-18,456,7447.504498,LavaFlow
7/8/21/24,31-May-18,457,4099.640848,LavaFlow
7/8/21/24,31-May-18,458,7914.265072,LavaFlow
7/8/21/24,31-May-18,459,732.7803842,LavaFlow
7/8/21/24,31-May-18,460,2876.587743,LavaFlow
7/8/21/24,31-May-18,461,2627.062243,LavaFlow
7/8/21/24,31-May-18,462,11223.20424,LavaFlow
7/8/21/24,31-May-18,463,8221.799438,LavaFlow
7/8/21/24,31-May-18,464,9383.294162,LavaFlow
18,31-May-18,465,21336.75406,LavaFlow
18,31-May-18,466,18948.24305,LavaFlow
18,31-May-18,467,106626.639,LavaFlow
18,31-May-18,468,10885.74595,LavaFlow
5/6/13/15,31-May-18,469,909.8078971,LavaFlow
5/6/13/15,31-May-18,470,4805.669062,LavaFlow
5/6/13/15,31-May-18,471,654.0631568,LavaFlow
5/6/13/15,31-May-18,472,437.1087333,LavaFlow
5/6/13/15,31-May-18,473,1941.844668,LavaFlow
19/20/22,31-May-18,474,2150.450408,LavaFlow
7/8/21/24,31-May-18,475,12720.01017,LavaFlow
7/8/21/24,31-May-18,476,79533.92995,LavaFlow
7/8/21/24,31-May-18,477,19974.20476,LavaFlow
7/8/21/24,31-May-18,478,760199.5782,LavaFlow
19/20/22,31-May-18,479,1688.571971,LavaFlow
7/8/21/24,2-Jun-18,480,16234.07511,LavaFlow
7/8/21/24,2-Jun-18,481,14834.36055,LavaFlow
7/8/21/24,2-Jun-18,482,5267.172863,LavaFlow
7/8/21/24,2-Jun-18,483,2139.780313,LavaFlow
7/8/21/24,2-Jun-18,484,16845.99606,LavaFlow
7/8/21/24,2-Jun-18,485,3535.353294,LavaFlow
7/8/21/24,2-Jun-18,486,3624.074339,LavaFlow
7/8/21/24,2-Jun-18,487,3102.688637,LavaFlow
7/8/21/24,2-Jun-18,488,3129.127425,LavaFlow
7/8/21/24,2-Jun-18,489,530.378579,LavaFlow
7/8/21/24,2-Jun-18,490,2479.257305,LavaFlow
7/8/21/24,2-Jun-18,491,6419.341433,LavaFlow
7/8/21/24,2-Jun-18,492,2398.49871,LavaFlow
7/8/21/24,2-Jun-18,493,1310.070717,LavaFlow
7/8/21/24,2-Jun-18,494,5497.747066,LavaFlow
7/8/21/24,2-Jun-18,495,15618.84455,LavaFlow
7/8/21/24,2-Jun-18,496,18554.92438,LavaFlow
7/8/21/24,2-Jun-18,497,126666.9294,LavaFlow
7/8/21/24,2-Jun-18,498,62501.29939,LavaFlow
7/8/21/24,2-Jun-18,499,1733235.98,LavaFlow
7/8/21/24,2-Jun-18,500,4282.952296,LavaFlow
7/8/21/24,2-Jun-18,501,22139.31338,LavaFlow
7/8/21/24,2-Jun-18,502,317623.2685,LavaFlow
7/8/21/24,2-Jun-18,503,4437.028713,LavaFlow
7/8/21/24,2-Jun-18,504,969.5123023,LavaFlow
7/8/21/24,2-Jun-18,505,1520.117459,LavaFlow
7/8/21/24,2-Jun-18,506,2303.023442,LavaFlow
7/8/21/24,2-Jun-18,507,56529.08973,LavaFlow
7/8/21/24,2-Jun-18,508,1328.374783,LavaFlow
7/8/21/24,2-Jun-18,509,1882.672901,LavaFlow
7/8/21/24,2-Jun-18,510,2493.075815,LavaFlow
7/8/21/24,2-Jun-18,511,5570.106128,LavaFlow
7/8/21/24,2-Jun-18,512,2334.540801,LavaFlow
7/8/21/24,2-Jun-18,513,1734.764964,LavaFlow
7/8/21/24,2-Jun-18,514,428.2632286,LavaFlow
