OBJECTID,tmk,tmk_txt,cty_tmk,majorowner,bigstowner,taxacres,landvalue,landexempt,bldgvalue,bldgexempt,pittcode,homeowner,gisacres,nhoodcode,qpub_link,ORIG_FID,x,y,lost,property_class
5061,314058037,314058037,14058037,other,other,0.1846,4200,0,0,0,100,N,0.18766899,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140580370000,57192,-154.9158624,19.50677132,N,RESIDENTIAL
5062,314058038,314058038,14058038,other,other,0.1888,4200,0,0,0,100,N,0.18907327,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140580380000,57193,-154.9156955,19.50671943,N,RESIDENTIAL
5063,314089022,314089022,14089022,other,other,0.2018,4700,0,3700,0,500,N,0.20446775,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140890220000,57194,-154.9002743,19.50911393,N,HOMEOWNER
5064,314089023,314089023,14089023,other,other,0.2112,4900,0,0,0,500,N,0.21213882,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140890230000,57195,-154.9004505,19.5092324,N,AGRICULTURAL
5065,314031079,314031079,14031079,other,other,0.1846,4300,0,0,0,500,N,0.18470494,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140310790000,57196,-154.9065092,19.50661843,N,AGRICULTURAL
5066,314031080,314031080,14031080,other,other,0.1846,4300,0,0,0,500,N,0.18798077,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140310800000,57197,-154.9066759,19.50666828,N,AGRICULTURAL
5067,314031081,314031081,14031081,other,other,0.1846,4300,0,0,0,500,N,0.18495156,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140310810000,57198,-154.9068425,19.50671814,N,AGRICULTURAL
5068,314031082,314031082,14031082,other,other,0.1846,4300,0,0,0,500,N,0.18856407,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140310820000,57199,-154.9070092,19.50676777,N,AGRICULTURAL
5069,314031083,314031083,14031083,other,other,0.1846,4300,0,0,0,500,N,0.18673973,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140310830000,57200,-154.9071765,19.5068185,N,AGRICULTURAL
5070,314031084,314031084,14031084,other,other,0.1846,4300,0,0,0,500,N,0.18671779,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140310840000,57201,-154.9073432,19.50686834,N,AGRICULTURAL
5071,314051038,314051038,14051038,other,other,0.1863,4200,0,0,0,100,N,0.19219064,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140510380000,57202,-154.9144285,19.49967148,N,RESIDENTIAL
5072,314045073,314045073,14045073,other,other,0.1846,3500,3500,65800,65800,100,Y,0.18507824,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140450730000,57203,-154.908973,19.49293471,N,HOMEOWNER
5073,314045074,314045074,14045074,other,other,0.2092,4400,0,125000,0,100,N,0.21115089,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140450740000,57204,-154.9090297,19.49276586,N,RESIDENTIAL
5074,314045075,314045075,14045075,other,other,0.2362,4600,0,0,0,100,N,0.23791525,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140450750000,57205,-154.9090943,19.49257424,N,RESIDENTIAL
5075,314031059,314031059,14031059,other,other,0.1846,4300,0,0,0,500,N,0.1865727,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140310590000,57206,-154.9071901,19.50732704,N,AGRICULTURAL
5076,314031060,314031060,14031060,other,other,0.1846,4300,0,0,0,500,N,0.18729567,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140310600000,57207,-154.9070235,19.50727696,N,AGRICULTURAL
5077,314033047,314033047,14033047,other,other,0.1846,4300,4300,1300,1300,500,Y,0.18527094,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140330470000,57208,-154.915781,19.50814824,N,HOMEOWNER
5078,314033048,314033048,14033048,other,other,0.1846,4300,0,0,0,500,N,0.18945475,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140330480000,57209,-154.9156131,19.50809776,N,AGRICULTURAL
5079,314033049,314033049,14033049,other,other,0.1846,4300,0,0,0,500,N,0.18587621,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140330490000,57210,-154.9154452,19.50804713,N,AGRICULTURAL
5080,314033050,314033050,14033050,other,other,0.1888,4400,0,0,0,500,N,0.19217156,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140330500000,57211,-154.9152752,19.50799733,N,AGRICULTURAL
5081,314033051,314033051,14033051,other,other,0.1888,4400,0,0,0,500,N,0.19140816,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140330510000,57212,-154.9151597,19.50834638,N,AGRICULTURAL
5082,314033052,314033052,14033052,other,other,0.1846,4300,0,0,0,500,N,0.18713433,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140330520000,57213,-154.9153282,19.5083997,N,AGRICULTURAL
5083,314033053,314033053,14033053,other,other,0.1846,4300,0,0,0,500,N,0.18947998,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140330530000,57214,-154.9154967,19.50845043,N,AGRICULTURAL
5084,314033054,314033054,14033054,other,other,0.1846,4300,0,0,0,500,N,0.18545122,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140330540000,57215,-154.9156644,19.50850085,N,AGRICULTURAL
5085,314033055,314033055,14033055,other,other,0.1846,4300,0,0,0,500,N,0.18651918,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140330550000,57216,-154.9158307,19.50855131,N,AGRICULTURAL
5086,314033056,314033056,14033056,other,other,0.1846,4300,0,0,0,500,N,0.18517974,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140330560000,57217,-154.9159971,19.50860181,N,AGRICULTURAL
